0,1,0
0.1,0.990049788,0.009950212
0.2,0.98019831,0.01980169
0.3,0.970444703,0.029555297
0.4,0.960788183,0.039211817
0.5,0.951227574,0.048772426
0.6,0.941762126,0.058237874
0.7,0.932391071,0.067608929
0.8,0.923113295,0.076886705
0.9,0.913928069,0.086071931
1,0.904834302,0.095165698
1.1,0.895831035,0.104168965
1.2,0.886917359,0.113082641
1.3,0.878092442,0.121907558
1.4,0.869355324,0.130644676
1.5,0.860705145,0.139294855
1.6,0.852141055,0.147858945
1.7,0.843662143,0.156337857
1.8,0.835267628,0.164732372
1.9,0.826956627,0.173043373
2,0.818728295,0.181271705
2.1,0.810581838,0.189418162
2.2,0.802516424,0.197483576
2.3,0.794531243,0.205468757
2.4,0.786625493,0.213374507
2.5,0.778798384,0.221201616
2.6,0.77104916,0.22895084
2.7,0.763377039,0.236622961
2.8,0.755781262,0.244218738
2.9,0.74826108,0.25173892
3,0.74081575,0.25918425
3.1,0.733444479,0.266555521
3.2,0.726146548,0.273853452
3.3,0.718921237,0.281078763
3.4,0.711767824,0.288232176
3.5,0.704685598,0.295314402
3.6,0.697673842,0.302326158
3.7,0.690731852,0.309268148
3.8,0.683858939,0.316141061
3.9,0.677054416,0.322945584
4,0.670317605,0.329682395
4.1,0.663647828,0.336352172
4.2,0.657044413,0.342955587
4.3,0.650506703,0.349493297
4.4,0.644034046,0.355965954
4.5,0.637625795,0.362374205
4.6,0.631281309,0.368718691
4.7,0.624999937,0.375000063
4.8,0.618781059,0.381218941
4.9,0.612624052,0.387375948
5,0.606528301,0.393471699
5.1,0.600493195,0.399506805
5.2,0.594518132,0.405481868
5.3,0.588602515,0.411397485
5.4,0.582745754,0.417254246
5.5,0.576947265,0.423052735
5.6,0.571206471,0.428793529
5.7,0.565522779,0.434477221
5.8,0.559895623,0.440104377
5.9,0.554324453,0.445675547
6,0.548808714,0.451191286
6.1,0.54334786,0.45665214
6.2,0.537941347,0.462058653
6.3,0.532588642,0.467411358
6.4,0.527289215,0.472710785
6.5,0.522042544,0.477957456
6.6,0.516848088,0.483151912
6.7,0.511705234,0.488294766
6.8,0.506613551,0.493386449
6.9,0.50157253,0.49842747
7,0.496581673,0.503418327
7.1,0.491640482,0.508359518
7.2,0.48674847,0.51325153
7.3,0.481905152,0.518094848
7.4,0.47711005,0.52288995
7.5,0.472362692,0.527637308
7.6,0.467662511,0.532337489
7.7,0.463009072,0.536990928
7.8,0.458401936,0.541598064
7.9,0.453840645,0.546159355
8,0.449324747,0.550675253
8.1,0.444853792,0.555146208
8.2,0.44042734,0.55957266
8.3,0.436044951,0.563955049
8.4,0.431706195,0.568293805
8.5,0.427410608,0.572589392
8.6,0.423157702,0.576842298
8.7,0.418947114,0.581052886
8.8,0.414778423,0.585221577
8.9,0.410651215,0.589348785
9,0.40656508,0.59343492
9.1,0.402519614,0.597480386
9.2,0.398514415,0.601485585
9.3,0.394549087,0.605450913
9.4,0.39062324,0.60937676
9.5,0.386736397,0.613263603
9.6,0.382888218,0.617111782
9.7,0.37907833,0.62092167
9.8,0.375306352,0.624693648
